country,2010年,2011年,2012年,2013年,2014年,2015年,2016年
Netherlands,15.31864611,15.32914418,14.72346666,14.88460108,14.84706394,15.21098929,15.23005009
New Zealand,5.419706089,5.420308424,5.474149386,5.459395797,5.525429017,5.533857524,5.525446595
Nicaragua,22.88148446,25.21008612,28.64993,29.09982796,28.23849717,22.99885412,22.70884868
Niger,116.2079136,118.3071703,102.933742,83.69221799,72.1032697,190.8841258,203.7438917
Nigeria,51.52976545,53.37224714,50.09321698,46.39325158,41.60273017,115.1239961,122.478442
North America,8.483242445,8.519955116,8.54078212,8.405408547,8.37207969,9.000671725,9.028642758
North Korea,31.16036492,29.51980478,30.25455573,31.57622866,32.81463215,35.86906193,36.01527573
Northern Mariana Islands,10.55372111,9.975855916,10.21330021,10.68032895,11.02373514,11.38151509,11.2866786
Norway,8.940380919,8.656901143,8.567909428,8.688093453,8.87185424,7.913173565,7.874067599
OECD members,14.41772261,14.27636496,14.23487799,14.56236033,14.86495966,14.92769499,14.93361741
Oman,55.71701425,57.25434647,60.10075909,57.53171587,55.39335059,76.42964279,77.9621781
Other small states,35.29317617,35.43058686,36.49568679,36.88709542,36.15296233,47.69763903,48.55605112
Pacific island small states,6.201920413,6.016076095,6.200043906,6.622514124,6.46387652,7.307022524,7.479497287
Pakistan,61.42932565,63.62501885,63.30603941,64.29146493,64.25366108,75.08110491,75.75074243
Palestine,18.24283468,17.81031899,17.86035554,18.67985957,19.62109118,18.96221468,18.901415
Panama,10.2142522,10.44066231,11.0020676,12.3878622,12.29777543,13.97661625,14.12599776
Papua New Guinea,11.51181311,12.94846651,13.81281722,14.35397329,13.94665602,13.72357609,13.67788256
Paraguay,17.71086925,18.49867743,16.52318502,16.33044636,15.5452079,23.10445642,23.69305414
Peru,27.80849693,29.97514286,29.56000934,29.41019495,28.44784603,26.05428187,26.0545956
Philippines,23.5779281,23.61313481,23.28736392,23.97069358,23.54776085,23.22725487,23.2134941
Poland,27.46920948,26.9709844,24.38072245,24.70605313,24.81526329,25.56731512,25.59991261
Portugal,9.610922656,9.458652747,9.497680853,9.490609996,9.692835117,9.509145041,9.491198111
Post-demographic dividend,12.4112496,12.22426194,12.24258891,12.52931591,12.78944035,12.82635501,12.81021237
Pre-demographic dividend,44.31945143,45.98780409,45.13816687,42.76924551,40.2733897,70.35128401,73.11862976
Puerto Rico,17.47411611,14.82833845,19.41954312,20.08235674,16.43706776,20.10202394,20.0552887
Qatar,122.0569808,112.5538643,120.9489184,115.3777245,107.2377385,147.5353404,148.2413983
Romania,20.25975551,20.05552247,19.14020031,19.09686306,19.41947017,18.99856264,19.06441498
Russia,16.59835086,16.05082698,15.46510287,16.00367519,16.2609495,15.53096142,15.5005356
Rwanda,44.46827742,49.07405282,52.77579131,53.91828867,51.86310993,52.50980919,52.79013012
Saint Lucia,14.11346282,14.34185823,14.63442612,14.76714112,14.4516757,17.20764816,17.3478258
Saint Vincent and the Grenadines,13.87385095,13.55623025,14.05446808,14.30117143,14.16609813,16.76453611,17.37431954
Samoa,3.432086805,3.326989665,3.412159227,3.535518478,3.674938049,3.85170228,3.857072798
Sao Tome and Principe,13.05972129,12.83431924,13.31006362,13.14091151,13.85662931,15.38460688,15.42765659
Saudi Arabia,130.0567129,130.9313238,135.9555427,125.9608957,116.2075531,182.9214563,187.8713608
Senegal,32.00963107,33.20953967,33.52068864,36.12858103,35.99474681,55.53094798,56.76633608
Serbia,19.5596881,19.32433557,18.82442565,19.472607,20.14719396,18.9158635,18.84678891
Seychelles,15.43654457,16.13055575,16.04780222,15.11802922,14.25881838,14.85154445,14.8388501
Sierra Leone,25.26623862,27.13427641,27.38182824,25.25998175,21.97884992,40.53851836,42.13067105
Singapore,18.10092841,18.11850343,18.17018788,18.94640805,18.05647415,24.89237699,25.02850236
Slovakia,20.32447653,19.5328462,18.91678209,19.03286448,19.78534047,20.31906812,20.33090746
Slovenia,15.88314254,15.1389415,15.77222177,17.22017527,18.73745719,17.92593844,17.82350883
Small states,29.32350093,29.61354387,30.69506025,31.24848722,30.70800047,39.60318366,40.34931751
Solomon Islands,5.821331254,5.660076422,5.808507389,6.141942512,6.089560615,8.244669124,8.515828391
Somalia,19.61480089,20.43104459,20.55507033,20.35655646,20.0537647,23.69593406,23.88828751
South Africa,29.75164165,29.43987439,29.17285158,29.11531417,29.45479727,35.52228598,35.91247747
South Asia,65.09741949,64.88762094,66.55681244,69.44231366,71.28272896,76.97252567,77.28874805
South Asia (IDA & IBRD),65.09741949,64.88762094,66.55681244,69.44231366,71.28272896,76.97252567,77.28874805
South Korea,25.16006609,23.80378677,24.88803144,26.10019997,27.50258279,28.67551804,28.68182353
South Sudan,36.08196116,36.91415821,38.37230392,35.37940679,33.98167648,48.05525608,48.70312381
Spain,9.687449661,9.738397468,9.768897562,9.748359793,9.745861148,9.956494034,9.960824015
Sri Lanka,26.97235396,27.19529912,27.91566695,28.09759559,28.08784333,25.7665375,25.63520757
Sub-Saharan Africa,39.68262447,41.54736405,41.20017997,39.45922831,37.5855352,64.62065067,67.12849639
Sub-Saharan Africa (IDA & IBRD),39.68262447,41.54736405,41.20017997,39.45922831,37.5855352,64.62065067,67.12849639
Sub-Saharan Africa (excluding high income),39.68510479,41.54982826,41.20258788,39.46153789,37.58772279,64.62529582,67.13331141
Sudan,56.32722689,57.35527874,58.83150725,54.74442527,52.51987476,76.0529344,77.72107205
Suriname,14.93928789,17.09334913,18.88451611,20.13205459,19.11622011,21.71352073,21.53247349
Swaziland,22.21147826,21.80076055,21.71516004,21.33428843,21.60731506,24.28347165,24.15181545
Sweden,5.436057279,5.287009296,5.161341523,5.579372123,5.862179314,5.222487818,5.195282483
Switzerland,11.00278236,11.09412731,11.17327887,12.0362583,12.33330312,10.60404505,10.51208667
Syrian Arab Republic,41.00456316,38.25027044,37.59990397,38.43050732,39.94112244,43.3959486,43.54666904
Tajikistan,48.98065243,47.97827939,49.42557067,48.18887334,50.28844141,60.69744821,61.35430442
Tanzania,20.96776886,22.28469247,23.47310311,23.72398744,23.48964387,22.38670539,22.34930727
Thailand,22.48840353,22.9746551,23.90589038,25.0787274,25.51617946,23.27653247,23.1725896
Timor,19.15969435,18.60883738,18.77605427,18.93125296,18.76839591,17.06733042,17.0005339
Togo,38.99098857,42.43923048,42.52160881,38.66816463,35.83835204,80.14973985,84.14439034
Tonga,3.903498192,3.868612218,3.954435058,3.983512903,3.978563842,4.016892769,3.993593926
Trinidad and Tobago,12.25632322,12.30638659,12.55898105,13.48224762,13.67334504,16.60840812,16.81227296
Tunisia,35.47790504,34.07999145,33.54500089,35.87353697,39.87458923,35.87427092,35.56567907
Turkey,32.58532529,32.1457016,30.32235935,33.05769258,34.67726932,37.15752608,37.25391764
Turkmenistan,29.79670398,27.51532691,27.89276847,28.39543519,30.14637802,37.30685938,37.7417613
Uganda,52.90097332,58.36132798,62.14682822,62.33800223,61.38641667,72.75637349,73.51172275
Ukraine,19.26064083,18.8773433,18.61955195,18.55494537,18.77227308,19.21988923,19.20606229
United Arab Emirates,72.80485477,71.69635049,73.52988815,69.47269504,65.924122,102.9262399,105.1237359
United Kingdom,11.81279093,11.84118031,12.0581285,12.03398615,12.10009135,11.54647834,11.52028708
United States,8.616733017,8.649967184,8.677355527,8.531050242,8.501963777,9.166296244,9.196934123
United States Virgin Islands,15.33755849,14.19720122,16.64133453,16.68394187,14.8322492,17.64554371,18.38143205
Upper middle income,42.76670072,42.09869641,42.07894946,41.83301864,42.34180208,42.06787591,42.06630751
Uruguay,11.80236181,11.70516914,11.7588682,11.54003033,11.61313152,11.54168106,11.52339849
Uzbekistan,37.18238236,36.03357003,37.3334286,36.98575052,38.63229348,46.21301018,46.6910757
Vanuatu,7.686919541,7.446672739,7.606975992,8.2636778,7.985840186,8.773083047,8.848735261
Venezuela,22.70342429,24.08335306,23.79501919,24.76507453,23.73096945,26.06650887,26.33118091
Vietnam,26.76071256,27.20811187,27.39297301,27.81588902,27.97614896,26.39694417,26.28590641
World,41.85823484,41.84501101,42.32485234,42.87941253,43.34016629,49.10450525,49.6734651
Yemen,50.52850571,55.26850733,62.43897958,59.39944964,55.65850957,71.70694713,72.55386478
Zambia,26.42764218,27.22962995,27.80475151,27.6507332,27.10911414,30.40264504,30.55029496
Zimbabwe,22.48042698,23.39766605,23.35947839,23.44837555,23.07232709,24.37178566,24.51303497
